,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,ywvl5wnz,1,https://www.speedrun.com/sm64/run/ywvl5wnz,2023-04-22T01:30:04Z,380.32,380.32,jn32931x,Suigi,Canada,N64,Yes
1,ywjg8w9z,2,https://www.speedrun.com/sm64/run/ywjg8w9z,2022-02-12T20:34:19Z,387.38,387.38,7j40gpw8,KANNO,,N64,Yes
2,ydjw8wvy,3,https://www.speedrun.com/sm64/run/ydjw8wvy,2023-06-19T17:17:00Z,388.13,388.13,qj2rklpx,cjrokokomero,Italy,N64,Yes
3,y2ggv4jz,4,https://www.speedrun.com/sm64/run/y2ggv4jz,2023-07-11T15:17:29Z,390.65,390.65,8wkzer38,Parsee02,Japan,N64,Yes
4,mr988ogm,5,https://www.speedrun.com/sm64/run/mr988ogm,2020-09-19T08:25:25Z,392.15,392.15,kj92gmv8,Dowsky,United States,N64,Yes
5,y2jpjn9z,6,https://www.speedrun.com/sm64/run/y2jpjn9z,2023-02-01T06:47:01Z,393.25,393.25,18q652oj,Poke,United States,N64,Yes
6,mrlp2ndm,7,https://www.speedrun.com/sm64/run/mrlp2ndm,2023-08-23T02:15:03Z,403.0,403.0,xkmnnmmj,ZUMMI,Italy,EMU,Yes
7,mk007l5z,8,https://www.speedrun.com/sm64/run/mk007l5z,2023-07-11T10:51:13Z,404.0,404.0,xk3nmqk8,DuckTapeDuck,,EMU,Yes
8,yj2q813m,9,https://www.speedrun.com/sm64/run/yj2q813m,2023-08-06T00:02:13Z,404.1,404.1,8vkrw22j,Tag609,United States,N64,Yes
9,8yv24rem,10,https://www.speedrun.com/sm64/run/8yv24rem,2015-08-07T21:20:12Z,404.23,404.23,,,,N64,Yes
10,dy4jg0ny,11,https://www.speedrun.com/sm64/run/dy4jg0ny,2016-10-25T19:03:39Z,404.7,404.7,o866w58z,Xiah,Japan,N64,Yes
11,mrr912dm,12,https://www.speedrun.com/sm64/run/mrr912dm,2022-08-17T05:40:11Z,405.67,405.67,68w4ro4x,wara,Japan,N64,Yes
12,z0lv9p8z,13,https://www.speedrun.com/sm64/run/z0lv9p8z,2022-11-21T15:48:50Z,406.1,406.1,18qowewj,Majoog,South Korea,N64,Yes
13,m7g1k9em,14,https://www.speedrun.com/sm64/run/m7g1k9em,2020-03-31T00:27:14Z,408.0,408.0,dx35yzej,TriforceTK,United States,EMU,Yes
14,y6r7wn0y,14,https://www.speedrun.com/sm64/run/y6r7wn0y,2020-09-17T07:21:59Z,408.0,408.0,1xy9p1vj,taihou,Japan,EMU,No
15,y2g8507z,14,https://www.speedrun.com/sm64/run/y2g8507z,2023-08-04T09:13:52Z,408.0,408.0,xyrqdwmj,Zhilkan,Spain,EMU,Yes
16,yd1ervvy,17,https://www.speedrun.com/sm64/run/yd1ervvy,2022-08-28T16:25:19Z,408.4,408.4,qjoolrej,nobori56,Japan,N64,Yes
17,y48v3wqm,18,https://www.speedrun.com/sm64/run/y48v3wqm,2022-03-10T23:43:58Z,410.17,410.17,0jm36qe8,Xein64,Germany,N64,Yes
18,z5pqggjm,19,https://www.speedrun.com/sm64/run/z5pqggjm,2023-08-29T08:36:22Z,412.05,412.05,j96ww5vj,asandal,United States,N64,Yes
19,me1vq13y,20,https://www.speedrun.com/sm64/run/me1vq13y,2022-07-31T22:11:20Z,412.31,412.31,qxk4wo6j,saksdal,United States,N64,Yes
20,yon4rgdz,21,https://www.speedrun.com/sm64/run/yon4rgdz,2023-05-02T08:41:00Z,413.0,413.0,jnzgrmwj,CyanogenSm64,Uzbekistan,VC,No
21,z1lv8x7m,21,https://www.speedrun.com/sm64/run/z1lv8x7m,2023-07-30T16:58:33Z,413.0,413.0,kj9z6pn8,Sunnard,France,EMU,Yes
22,yv8nvvom,23,https://www.speedrun.com/sm64/run/yv8nvvom,2023-03-13T22:57:47Z,413.05,413.05,j4rpn7d8,Nils,Sweden,N64,Yes
23,m70do89y,24,https://www.speedrun.com/sm64/run/m70do89y,2023-06-11T23:16:22Z,413.83,413.83,8vo90m5x,Nicolascs83,Spain,N64,Yes
24,z0ogd1ez,25,https://www.speedrun.com/sm64/run/z0ogd1ez,2022-03-25T17:49:38Z,414.0,414.0,8lp7rqrj,kiliaaan,Germany,EMU,Yes
25,yvpnp94y,26,https://www.speedrun.com/sm64/run/yvpnp94y,2023-08-01T03:33:25Z,414.66,414.66,8r2w1n3x,Kinosura,France,N64,Yes
26,y2gkd4wz,27,https://www.speedrun.com/sm64/run/y2gkd4wz,2023-07-16T06:54:29Z,415.26,415.26,xzlelze8,W1cko,Australia,N64,Yes
27,z5e9wp5z,28,https://www.speedrun.com/sm64/run/z5e9wp5z,2023-04-21T18:41:58Z,415.56,415.56,8wlk4n4j,Kaimatix,England,N64,Yes
28,0y6j56jm,29,https://www.speedrun.com/sm64/run/0y6j56jm,2016-11-14T01:13:01Z,415.98,415.98,qxkovg98,gohanie,Japan,N64,Yes
29,y9vkxnvm,30,https://www.speedrun.com/sm64/run/y9vkxnvm,2022-06-19T19:53:51Z,417.11,417.11,7j4mzd5j,Thomkar,Norway,N64,Yes
30,z0948jjz,31,https://www.speedrun.com/sm64/run/z0948jjz,2021-01-03T20:50:58Z,418.0,418.0,x353dr7j,Finnii602,Germany,VC,Yes
31,z0j0k3jy,31,https://www.speedrun.com/sm64/run/z0j0k3jy,2023-08-07T05:39:16Z,418.0,418.0,8e6vr17j,piegolds,Australia,EMU,Yes
32,y8dj04xz,33,https://www.speedrun.com/sm64/run/y8dj04xz,2021-05-22T04:46:11Z,419.05,419.05,qjned9qj,tami,Japan,N64,Yes
33,yjdj0g3y,34,https://www.speedrun.com/sm64/run/yjdj0g3y,2022-07-31T21:44:30Z,419.08,419.08,j2ylqn68,Karin,Japan,N64,Yes
34,mroenx2m,35,https://www.speedrun.com/sm64/run/mroenx2m,2022-12-20T01:18:39Z,419.16,419.16,zxzn3w9x,spener1122,Canada,N64,Yes
35,mrlplj7m,36,https://www.speedrun.com/sm64/run/mrlplj7m,2023-08-22T20:04:12Z,419.76,419.76,86nnlvqx,Banova8,France,N64,Yes
36,zxleepkz,37,https://www.speedrun.com/sm64/run/zxleepkz,2022-04-02T19:37:13Z,420.0,420.0,qj23lpxk,Miton,Japan,N64,Yes
37,z5xlg2ny,37,https://www.speedrun.com/sm64/run/z5xlg2ny,2022-10-15T18:53:52Z,420.0,420.0,18q6977j,Burnito,France,N64,Yes
38,y4grwqdy,37,https://www.speedrun.com/sm64/run/y4grwqdy,2023-01-12T20:35:33Z,420.0,420.0,jnz2ykqj,ShaDowSPoweR,France,EMU,Yes
39,z5px5jnm,37,https://www.speedrun.com/sm64/run/z5px5jnm,2023-06-30T06:00:07Z,420.0,420.0,8w139m3x,oatslice,Australia,N64,Yes
40,y6okpnjy,41,https://www.speedrun.com/sm64/run/y6okpnjy,2023-04-16T22:14:24Z,421.0,421.0,8enge328,BenedictFleur123,Netherlands,EMU,Yes
41,m7pknkem,42,https://www.speedrun.com/sm64/run/m7pknkem,2019-04-26T11:46:52Z,424.0,424.0,zxzpz50j,Fafel,Japan,N64,Yes
42,zq9xor8y,43,https://www.speedrun.com/sm64/run/zq9xor8y,2022-11-25T20:18:53Z,426.0,426.0,8d35ly5x,RetroTorpedo,Germany,EMU,Yes
43,z5d68e5m,44,https://www.speedrun.com/sm64/run/z5d68e5m,2021-11-04T18:55:34Z,430.0,430.0,e8evzg7x,gamiru,Japan,N64,No
44,y9x74r2y,45,https://www.speedrun.com/sm64/run/y9x74r2y,2022-08-05T00:55:36Z,434.0,434.0,8rpp0egj,Nickless,United States,N64,No
45,z1p7x9jz,46,https://www.speedrun.com/sm64/run/z1p7x9jz,2022-07-10T21:37:48Z,435.0,435.0,kjpqrr4x,Goldrush,Japan,N64,Yes
46,yl1vl72m,46,https://www.speedrun.com/sm64/run/yl1vl72m,2022-08-18T07:02:17Z,435.0,435.0,j0324nmj,MrDasho,Ecuador,EMU,Yes
47,me30vp9z,48,https://www.speedrun.com/sm64/run/me30vp9z,2022-06-17T17:48:25Z,437.0,437.0,x7m9r50x,SaschaSR,Germany,EMU,Yes
48,yvpp616y,48,https://www.speedrun.com/sm64/run/yvpp616y,2023-07-11T01:00:54Z,437.0,437.0,8e6k1loj,PhoenixAUS,Australia,VC,Yes
